"","name","latitude","longitude","address"
"1","BCYF Blackstone",42.3403411,-71.0726709,"50 W Brookline St, Boston, MA 02118, USA"
"2","BCYF Charlestown",42.3807937,-71.0598052,"255 Medford St, Charlestown, MA 02129, USA"
"3","BCYF Cleveland",42.3008168,-71.0617716,"11 Charles St, Dorchester, MA 02122, USA"
"4","BCYF Clougherty Pool",42.3821015,-71.0673594,"331 Bunker Hill St, Charlestown, MA 02129, USA"
"5","BCYF Condon",42.3381606,-71.0525135,"200 D St, South Boston, MA 02127, USA"
"6","BCYF Curley",42.3291618,-71.035165,"1663 Columbia Rd, Boston, MA 02127, USA"
"7","BCYF Curtis Hall",42.3088574,-71.1149464,"20 South St, Jamaica Plain, MA 02130, USA"
"8","BCYF Draper Pool",42.2601048,-71.1597514,"5275 Washington St, West Roxbury, MA 02132, USA"
"9","BCYF Flaherty Pool",42.2883115,-71.1222455,"160 Florence St, Roslindale, MA 02131, USA"
"10","BCYF Gallivan",42.274867,-71.0815411,"61 Woodruff Way, Mattapan, MA 02126, USA"
"11","BCYF Golden Age Senior Center",42.3797807,-71.0699238,"382 Main St, Charlestown, MA 02129, USA"
"12","BCYF Grove Hall Senior Center",42.3076654,-71.0807635,"51 Geneva Ave, Boston, MA 02121, USA"
"13","BCYF Hennigan",42.326026,-71.106821,"200 Heath St, Jamaica Plain, MA 02130, USA"
"14","BCYF Holland",42.306095,-71.0737333,"85 Olney St, Dorchester, MA 02121, USA"
"15","BCYF Hyde Park",42.2555632,-71.1209899,"1179 River St, Hyde Park, MA 02136, USA"
"16","BCYF Jackson/Mann",42.3529757,-71.1377303,"500 Cambridge St, Allston, MA 02134, USA"
"17","BCYF Leahy/Holloran",42.2943449,-71.0492967,"1 Worrell St, Dorchester, MA 02122, USA"
"18","BCYF Madison Park",42.330843,-71.0883859,"55 Malcolm X Blvd, Boston, MA 02120, USA"
"19","BCYF Mason Pool",42.3257789,-71.0708731,"159 Norfolk Ave, Boston, MA 02119, USA"
"20","BCYF Mattahunt",42.2763126,-71.1033928,"100 Hebron St, Mattapan, MA 02126, USA"
"21","BCYF Menino",42.292595,-71.120329,"125 Brookway Rd, Roslindale, MA 02131, USA"
"22","BCYF Mildred Avenue",42.2765019,-71.0907497,"5 Mildred Ave, Mattapan, MA 02126, USA"
"23","BCYF Mirabella Pool",42.3686553,-71.0539162,"475 Commercial Street, Boston, MA 02109, USA"
"24","BCYF Nazzaro",42.3654606,-71.0544833,"30 N Bennet St, Boston, MA 02113, USA"
"25","BCYF Ohrenberger",42.2607884,-71.1496873,"175 W Boundary Rd, West Roxbury, MA 02132, USA"
"26","BCYF Paris Street",42.372796,-71.0374658,"112 Paris St, East Boston, MA 02128, USA"
"27","BCYF Perkins",42.2922691,-71.0804036,"155 Talbot Ave, Dorchester Center, MA 02124, USA"
"28","BCYF Pino",42.3888921,-71.0107069,"86 Boardman St, East Boston, MA 02128, USA"
"29","BCYF Quincy",42.3505795,-71.0636476,"885 Washington St, Boston, MA 02111, USA"
"30","BCYF Roche",42.2869464,-71.1493142,"1716 Centre St, West Roxbury, MA 02132, USA"
"31","BCYF Roslindale",42.2865384,-71.1276987,"6 Cummins Hwy, Boston, MA 02131, USA"
"32","BCYF Shelburne",42.3223762,-71.0903945,"2730 Washington St, Roxbury, MA 02119, USA"
"33","BCYF Tobin",NA,NA,NA
"34","BCYF Tynan",42.3345263,-71.0390073,"650 E 4th St, South Boston, MA 02127, USA"
"35","BCYF Vine Street",42.3267858,-71.0767228,"339 Dudley St, Roxbury, MA 02119, USA"
